place,water_tap_id,lat,lon
Edise 3-2,760,59.3698628,27.3767403
Edise pumbajaam,760,,
Edivere küla veetöötlusjaam,2091,59.23828495,27.514890731444748
Edivere küla veevärk,2091,59.23828495,27.514890731444748
"Ees-Kaurutootsi, Kaurutootsi küla",2400,57.963428750000006,26.51076915
Eesti Gümnaasium,1038,58.4080359,24.6586337
"Eesti Põhikool, Sillamäe linn",630,59.349756049999996,27.415942729203774
"Eesti Põhikooli söökla, Sillamäe linn",630,57.967386,27.00003186263736
Eesti fototurismikeskus,511,,
Eha tänava puurkaevu väljundkraan,971,,
Ehitajate tee 17-4,306,59.4103864,24.6680666
Ehitajate tee 7,841,59.4103864,24.6680666
"Ehitajate tee elamu, Tõstamaa",731,59.4103864,24.6680666
Ehitajate tn,300,59.321949000000004,27.777570499999996
"Ehituse tn 24, korter 2",989,59.3416079,26.3835318
Ehte 9,841,58.9486381,23.5349363525542
Ehte Humanitaargümnaasium,306,59.44146535,24.698900756657807
Ei ole enam proovivõtukoht Kamara kauplusest,470,61.2761951,8.9770714
Eidapere Lasteaed,715,,
Eidapere Põhikool,715,,
Eidapere Tallinna mnt MTÜ õpilaskodu,715,58.753475,24.9425015
Eidapere Tallinna mnt puurkaev sissevool,715,58.753475,24.9425015
Eidapere Tallinna mnt puurkaev väljavool,715,58.753475,24.9425015
Eikla  külakeskuse köök,755,,
Eisma Külalistemaja köök,1098,,
Eistvere jahimaja,972,58.695498,25.736184078101974
Eivere mõis,512,58.947293,25.554773750000003
Elamu,823,58.9215827,25.88239837068253
Elamu,825,58.9215827,25.88239837068253
Elamu,830,58.9215827,25.88239837068253
Elamu,831,58.9215827,25.88239837068253
Elamu,832,58.9215827,25.88239837068253
Elamu,833,58.9215827,25.88239837068253
Elamu,834,58.9215827,25.88239837068253
Elamu,835,58.9215827,25.88239837068253
Elamu,837,58.9215827,25.88239837068253
Elamu,903,58.9215827,25.88239837068253
Elamu,940,58.9215827,25.88239837068253
Elamu,979,58.9215827,25.88239837068253
Elamu,987,58.9215827,25.88239837068253
Elamu,1027,58.9215827,25.88239837068253
Elamu,1029,58.9215827,25.88239837068253
Elamu,1030,58.9215827,25.88239837068253
Elamu,1031,58.9215827,25.88239837068253
Elamu,1032,58.9215827,25.88239837068253
Elamu,1033,58.9215827,25.88239837068253
Elamu,1100,58.9215827,25.88239837068253
Elamu,1102,58.9215827,25.88239837068253
Elamu,1183,58.9215827,25.88239837068253
Elamu,1374,58.9215827,25.88239837068253
Elamu,1424,58.9215827,25.88239837068253
Elamu,1948,58.9215827,25.88239837068253
Elamu (kontor-klubi osa),1094,,
Elamu 10,244,,
Elamu 2-2,364,57.683232649999994,27.327885075022497
Elamu 3-1,680,,
Elamu Kiriku tee,834,,
Elamu Lohusalu 4,1215,,
Elamu Loo tee 11,823,,
Elamu Lossi 10,1218,,
Elamu Pilve 9-4,385,,
Elamu Spordi 9,1218,,
Elamu Tammiku 5,507,,
Elamu köögi kraan,1805,,
Elamu köök,2428,,
"Elamu, Kivi tn. 4",1102,,
"Elamu, Lubja küla",1353,,
"Elamu, Luige al., Ööbiku",1349,,
"Elamu, Mutiku tänav 12",337,,
"Elamu, Riia tn 65 - 3",276,,
"Elamu, Sepa 4 - 6",986,,
"Elamu, Vaela küla",1349,,
"Elamu, Vardja 2-5",984,,
Elektra külalistemaja,421,,
Elistvere suurköök,378,,
Ellamaa 183 kinnistu piiril asuv proovivõtukoht,1190,59.04463455,24.173258295839272
Elumaja,895,59.4336841,24.64431248672269
Elumaja,896,59.4336841,24.64431248672269
Elumaja,897,59.4336841,24.64431248672269
Elumaja,898,59.4336841,24.64431248672269
Elumaja,899,59.4336841,24.64431248672269
Elumaja,983,59.4336841,24.64431248672269
Elumaja,1090,59.4336841,24.64431248672269
Elumaja,1094,59.4336841,24.64431248672269
Elumaja,1095,59.4336841,24.64431248672269
Elumaja,1249,59.4336841,24.64431248672269
Elumaja Jaama 12,903,,
Elumaja Jaama tn. 8,903,,
Elumaja Kreegipuu 5,1245,,
"Elumaja, Mutiku tn 1",337,,
"Elumaja, Muuga küla",1353,,
Elva Gümnaasium,291,58.21688795,26.412874083058465
Elva Gümnaasiumi köök,291,,
Elva Haigla,291,58.2298915,26.409725264423077
Embrace guestrooms & apartments,172,,
Emmaste Põhikool,1036,58.69650335,22.574765316938667
Emmaste Põhikooli pumplast väljuv vesi,1036,,
Emmaste lasteaed,1205,58.705136,22.599922053184642
"Emmi hotell, Pärnu",172,58.37480265,24.534264917080968
Emumäe küla veetöötlusjaam,1933,58.92647225,26.35516823928926
